datetime,hora,dia_semana,mes,es_fin_de_semana,es_agosto,es_festivo,HDD,CDD,humedad_relativa,velocidad_viento,radiacion_solar,demanda_lag_168h,prediccion_demanda_mw,modelo,fecha_corte_entrenamiento,train_dias,order,seasonal_order,meteo_futura_metodo
2026-03-24 18:00:00,18,1,3,0,0,0,7.421658975250591,0.0,58.98090909090909,15.171136363636363,325.48642045454545,25907.553,23889.818470974835,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 19:00:00,19,1,3,0,0,0,7.8925085036304266,0.0,62.93210227272727,13.664602272727272,187.77079545454546,27988.899,25819.01192000121,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 20:00:00,20,1,3,0,0,0,8.744804860388873,0.0,69.61562500000001,11.673806818181818,57.58727272727273,29640.707,27332.388605485263,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 21:00:00,21,1,3,0,0,0,9.506620452761839,0.0,73.41676136363637,10.864431818181819,1.6704545454545454,28845.548,26658.941084284284,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 22:00:00,22,1,3,0,0,0,10.015514088972393,0.0,75.92215909090909,10.404261363636364,0.0,26411.98,24592.104906655724,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-24 23:00:00,23,1,3,0,0,0,10.460239152086096,0.0,77.38607954545455,10.286022727272726,0.0,24005.542,22489.66291287978,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 00:00:00,0,2,3,0,0,0,10.92936758828394,0.0,78.7850847457627,10.149887005649717,0.0,22430.088,21127.434324569287,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 01:00:00,1,2,3,0,0,0,11.312854107384984,0.0,79.76142045454546,10.097386363636364,0.0,21101.354,19999.00091570128,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 02:00:00,2,2,3,0,0,0,11.499405997274456,0.0,80.30777777777777,10.062222222222223,0.0,20297.131,19314.566215678038,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 03:00:00,3,2,3,0,0,0,11.70022004404824,0.0,80.69727272727272,9.887954545454546,0.0,19892.45,18970.64992524811,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 04:00:00,4,2,3,0,0,0,11.978191131267822,0.0,81.20823863636363,9.862045454545454,0.0,19904.857,18978.21170022339,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 05:00:00,5,2,3,0,0,0,12.241892683721352,0.0,81.65159090909091,9.977613636363635,0.0,20683.468,19652.732570085213,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 06:00:00,6,2,3,0,0,0,12.49273740732137,0.0,82.04914772727273,10.088238636363636,0.0,23563.592,22085.847128133246,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 07:00:00,7,2,3,0,0,0,12.686143288067631,0.0,82.11926136363637,10.298920454545454,0.0,26593.676,24634.523850191803,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 08:00:00,8,2,3,0,0,0,12.81617018822007,0.0,82.2765340909091,10.49625,0.15892045454545456,27855.904,25701.14754592945,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 09:00:00,9,2,3,0,0,0,12.529889684769733,0.0,80.36738636363636,10.892954545454545,25.078011363636367,27402.777,25286.976875111406,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 10:00:00,10,2,3,0,0,0,11.446946186509093,0.0,74.85414772727273,10.984943181818181,133.4318181818182,26475.181,24419.701422684273,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 11:00:00,11,2,3,0,0,0,10.234758088957356,0.0,68.63238636363636,11.139943181818182,277.3314772727273,25661.209,23646.7839688584,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 12:00:00,12,2,3,0,0,0,9.183408460095539,0.0,63.157045454545454,12.183125,411.9582386363636,25151.679,23155.948021443117,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 13:00:00,13,2,3,0,0,0,8.342058321258381,0.0,59.57357954545455,13.249431818181819,512.4410795454546,25265.865,23198.36646177102,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 14:00:00,14,2,3,0,0,0,7.827272871276813,0.0,57.66465909090909,14.25534090909091,564.2425568181818,25196.763,23106.39793106047,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 15:00:00,15,2,3,0,0,0,7.357401781791256,0.0,56.42272727272727,15.109772727272729,564.8672727272727,24856.264,22829.952500460473,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 16:00:00,16,2,3,0,0,0,7.16972538092707,0.0,55.90710227272727,15.772784090909092,522.8768181818182,25125.433,23068.20271444611,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 17:00:00,17,2,3,0,0,0,7.200353862682388,0.0,56.891818181818174,15.839829545454545,445.4371590909091,25750.161,23605.945905192333,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 18:00:00,18,2,3,0,0,0,7.421658975250591,0.0,58.98090909090909,15.171136363636363,325.48642045454545,26473.791,24300.251938760066,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 19:00:00,19,2,3,0,0,0,7.8925085036304266,0.0,62.93210227272727,13.664602272727272,187.77079545454546,28395.681,26032.58464362042,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 20:00:00,20,2,3,0,0,0,8.744804860388873,0.0,69.61562500000001,11.673806818181818,57.58727272727273,29771.099,27288.167442075322,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 21:00:00,21,2,3,0,0,0,9.506620452761839,0.0,73.41676136363637,10.864431818181819,1.6704545454545454,28949.791,26617.611190746895,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 22:00:00,22,2,3,0,0,0,10.015514088972393,0.0,75.92215909090909,10.404261363636364,0.0,26453.143,24514.294059750653,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
2026-03-25 23:00:00,23,2,3,0,0,0,10.460239152086096,0.0,77.38607954545455,10.286022727272726,0.0,23904.441,22339.848567901972,SARIMAX + lag 168h,2026-03-22,365,"(1, 1, 1)","(1, 0, 0, 24)",perfil_historico_medio_mes_hora
